PARK,SIZE,BOROUGH,TOTAL
BROAD CHANNEL WETLANDS,37.95,QUEENS       ,0
CONEY ISLAND BOAT BASIN,36.81,BROOKLYN     ,1
BUNKER PONDS PARK,36.69,STATEN ISLAND,0
SETON FALLS PARK,35.77,BRONX        ,8
MCCARREN PARK,35.71,BROOKLYN     ,68
ST. MARY'S PARK BRONX,35.31,BRONX        ,65
SHOOTERS ISLAND,34.69,STATEN ISLAND,0
NORTH BROTHER ISLAND,30.4,BRONX        ,0
FORT GREENE PARK,30.17,BROOKLYN     ,37
BATTERY PARK CITY,29.99,MANHATTAN    ,1
MORNINGSIDE PARK,29.89,MANHATTAN    ,58
MACNEIL PARK,28.87,QUEENS       ,3
ALLEY ATHLETIC PLAYGROUND,27.53,QUEENS       ,0
VERNAM BARBADOES PENINSULA,27.48,QUEENS       ,0
COLLEGE POINT FIELDS,26.83,QUEENS       ,1
KAISER PARK,26.26,BROOKLYN     ,9
SUNSET PARK,24.5,BROOKLYN     ,67
OWL'S HEAD PARK,24.22,BROOKLYN     ,8
SPRINGFIELD PARK,23.54,QUEENS       ,5
RECREATIONAL AREA,23.09,MANHATTAN    ,0
KING FISHER PARK,23.01,STATEN ISLAND,0
SIEDENBURG PARK,22.88,STATEN ISLAND,0
ST. NICHOLAS PARK,22.74,MANHATTAN    ,64
SOUTH BROTHER ISLAND,22.16,BRONX        ,0
LOCUST POINT MARINA,22.07,BRONX        ,0
BATTERY PARK,21.88,MANHATTAN    ,21
BROOKLYN BRIDGE PARK,21.19,BROOKLYN     ,82
ASSER LEVY PARK,21.04,BROOKLYN     ,3
SEASIDE WILDLIFE NATURE PARK,20.91,STATEN ISLAND,1
WAVE HILL,20.87,BRONX        ,0
QUEENSBRIDGE PARK,20.34,QUEENS       ,4
MARCUS GARVEY PARK,20.17,MANHATTAN    ,67
ISHAM PARK,20.13,MANHATTAN    ,4
WILLIAMSBRIDGE OVAL,19.75,BRONX        ,56
BRANT POINT WILDLIFE SANCTUARY,19.56,QUEENS       ,0
BROAD CHANNEL AMERICAN PARK,18.77,QUEENS       ,0
THEODORE ROOSEVELT PARK,17.57,MANHATTAN    ,1
BENSONHURST PARK,17.5,BROOKLYN     ,11
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,17.14,BROOKLYN     ,34
JOHN GOLDEN PARK,17,QUEENS       ,0
BAYVIEW TERRACE PARK,16.94,STATEN ISLAND,0
JONES WOODS PARK,16.93,STATEN ISLAND,0
FRANCIS LEWIS PARK,16.83,QUEENS       ,2
LEIF ERICSON PARK,16.8,BROOKLYN     ,10
EIBS POND PARK,16.51,STATEN ISLAND,0
RAILROAD PARK QUEENS,16.44,QUEENS       ,0
BREUKELEN BALLFIELDS,16.16,BROOKLYN     ,2
FRANZ SIGEL PARK,15.99,BRONX        ,29
THOMAS JEFFERSON PARK,15.52,MANHATTAN    ,29
ALICE AUSTEN PARK,15.52,STATEN ISLAND,0
MILL POND PARK,15.5,BRONX        ,2
SHERMAN CREEK,15.38,MANHATTAN    ,1
HARRIS PARK,15.32,BRONX        ,5
GOODHUE,15.06,STATEN ISLAND,0
MULLALY PARK,15.05,BRONX        ,48
TREMONT PARK,15,BRONX        ,9
CARL SCHURZ PARK,14.94,MANHATTAN    ,15
GRAND ARMY PLAZA BROOKLYN,14.26,BROOKLYN     ,5
VON BRIESEN PARK,13.94,STATEN ISLAND,1
MOTOR PARKWAY,13.89,QUEENS       ,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,13.83,QUEENS       ,0
BEACH 17 PLAYGROUND,13.75,QUEENS       ,3
TUDOR PARK,13.54,QUEENS       ,6
AQUEDUCT WALK,13.53,BRONX        ,23
FATHER MACRIS PARK,13.47,STATEN ISLAND,0
STARLIGHT PARK,12.93,BRONX        ,14
JACKIE ROBINSON PARK MANHATTAN,12.77,MANHATTAN    ,33
BROOKLYN MUSEUM,12.66,BROOKLYN     ,3
BEACH CHANNEL PARK,12.62,QUEENS       ,0
GREENBELT NATIVE PLANT CENTER,12.25,STATEN ISLAND,0
BOWNE PARK,11.79,QUEENS       ,7
SETON PARK,11.69,BRONX        ,2
RUFUS KING PARK,11.5,QUEENS       ,34
FRANK GOLDEN PARK,11.42,QUEENS       ,1
ST. JAMES PARK,11.39,BRONX        ,40
RICHMOND TERRACE WETLANDS,11.19,STATEN ISLAND,0
BARRETTO POINT PARK,11.16,BRONX        ,3
ST. ALBANS PARK,10.79,QUEENS       ,3
GEMINI FIELDS,10.76,QUEENS       ,0
GIVANS CREEK WOODS,10.74,BRONX        ,0
BETSY HEAD PARK,10.56,BROOKLYN     ,15
TOMPKINS SQUARE PARK,10.5,MANHATTAN    ,53
CPL. THOMPSON PARK,10.5,STATEN ISLAND,10
COMMODORE BARRY PARK,10.39,BROOKLYN     ,6
CADMAN PLAZA PARK,10.38,BROOKLYN     ,3
BROADWAY MALLS,10.24,MANHATTAN    ,2
STEEPLECHASE PARK,10.01,BROOKLYN     ,1
HUNTER'S POINT SOUTH PARK,10,QUEENS       ,2
UNNAMED PARK ON RICHMOND TERRACE,9.93,STATEN ISLAND,0
HYBRID OAK WOODS PARK,9.76,STATEN ISLAND,0
WASHINGTON SQUARE PARK,9.75,MANHATTAN    ,89
BRYANT PARK,9.6,MANHATTAN    ,95
ROCKAWAY FREEWAY,9.4,QUEENS       ,0
BICENTENNIAL VETERANS MEMORIAL PARK,9.4,BRONX        ,1
SUNSET COVE PARK,9.38,QUEENS       ,0
ST. JOHN'S RECREATION CENTER,9.34,BROOKLYN     ,31
LINDEN PARK,9.32,BROOKLYN     ,14
HAFFEN PARK,9.24,BRONX        ,6
ALLISON POND PARK,9.2,STATEN ISLAND,0
GRANITEVILLE SWAMP PARK,9.19,STATEN ISLAND,0
TOTTENVILLE SHORE PARK,9.18,STATEN ISLAND,0
CAPTAIN TILLY PARK,9.16,QUEENS       ,22
HARVEY PARK,9.15,QUEENS       ,0
MSGR. MCGOLRICK PARK,9.13,BROOKLYN     ,6
BUSHWICK INLET PARK,9.01,BROOKLYN     ,9
HENRY HUDSON PARK,8.97,BRONX        ,1
FRANK PRINCIPE PARK,8.9,QUEENS       ,0
CASTLE HILL PARK,8.83,BRONX        ,1
ROCHDALE PARK,8.83,QUEENS       ,4
ABE STARK SKATING RINK,8.81,BROOKLYN     ,2
CITY HALL PARK,8.8,MANHATTAN    ,6
EAST RIVER WATERFRONT ESPLANADE,8.76,MANHATTAN    ,3
CROTONA PARKWAY MALLS,8.75,BRONX        ,1
CONEY ISLAND CREEK PARK,8.66,BROOKLYN     ,0
MILL ROCK PARK,8.64,MANHATTAN    ,0
