PARK,SIZE,BOROUGH,TOTAL
MAHONEY PLAYGROUND,2.21,STATEN ISLAND,2
ANCHORAGE PLAZA,2.2,BROOKLYN     ,0
ASTORIA HEIGHTS PLAYGROUND,2.2,QUEENS       ,2
HOYT PLAYGROUND,2.2,QUEENS       ,1
LORETO PLAYGROUND,2.18,BRONX        ,2
HARDING PARK,2.16,BRONX        ,1
WASHINGTON MARKET PARK,2.15,MANHATTAN    ,1
VIDALIA PARK,2.14,BRONX        ,3
UNNAMED PARK ON E 122ND STREET,2.13,MANHATTAN    ,1
BRIDGE PARK BROOKLYN,2.12,BROOKLYN     ,12
HAMILTON METZ FIELD,2.11,BROOKLYN     ,8
CARDOZO PLAYGROUND,2.1,QUEENS       ,0
CENTREVILLE PLAYGROUND,2.1,QUEENS       ,0
REDFERN PLAYGROUND,2.09,QUEENS       ,0
SHEEPSHEAD PLAYGROUND,2.09,BROOKLYN     ,2
STORY PLAYGROUND,2.08,BRONX        ,4
SAKURA PARK,2.07,MANHATTAN    ,1
LINNAEUS PARK,2.07,QUEENS       ,0
CASTLEWOOD PLAYGROUND,2.06,QUEENS       ,0
SKYLINE PLAYGROUND,2.06,STATEN ISLAND,0
CLOVE'S TAIL,2.06,STATEN ISLAND,0
DANIEL M. O'CONNELL PLAYGROUND,2.04,QUEENS       ,2
CHALLENGE PLAYGROUND,2.04,QUEENS       ,0
TORSNEY PLAYGROUND,2.03,QUEENS       ,3
LOCUST MANOR PLAYGROUND,2,QUEENS       ,0
PLAYGROUND ONE THIRTY FOUR CXXXIV,2,BRONX        ,0
FULTON PARK,1.99,BROOKLYN     ,11
ANDREW HASWELL GREEN PARK,1.98,MANHATTAN    ,0
MOORE HOMESTEAD PLAYGROUND,1.98,QUEENS       ,25
MCLAUGHLIN PARK,1.98,BROOKLYN     ,8
COLONEL DAVID MARCUS PLAYGROUND,1.97,BROOKLYN     ,3
SUMNER PLAYGROUND,1.97,BROOKLYN     ,2
ROSEMARY'S PLAYGROUND,1.97,QUEENS       ,8
SAUL WEPRIN PLAYGROUND,1.96,QUEENS       ,0
FREDERICK DOUGLASS PLAYGROUND,1.95,MANHATTAN    ,9
UNNAMED PARK ON HEMPSTEAD AVENUE,1.94,QUEENS       ,0
BRIDGE PARK 3,1.93,BROOKLYN     ,1
THE PAINTER'S PLAYGROUND,1.93,QUEENS       ,0
ROBERTO CLEMENTE BALLFIELD,1.93,BROOKLYN     ,0
TERRACE PLAYGROUND,1.92,STATEN ISLAND,0
TRAVERS PARK,1.92,QUEENS       ,13
BUFANO PARK,1.9,BRONX        ,2
DIMATTINA PLAYGROUND,1.9,BROOKLYN     ,0
HERMAN DOLGON PLAYGROUND,1.89,BROOKLYN     ,0
GORMAN PARK,1.89,MANHATTAN    ,6
WILLIS PLAYGROUND,1.88,BRONX        ,5
WEST BRONX RECREATION CENTER,1.88,BRONX        ,0
THOMAS PAINE PARK,1.88,MANHATTAN    ,1
CARROLL PARK,1.87,BROOKLYN     ,5
COLGATE CLOSE,1.87,BRONX        ,0
LONDON PLANETREE PLAYGROUND,1.84,QUEENS       ,7
SUTTER BALLFIELDS,1.84,BROOKLYN     ,2
TAAFFE PLAYGROUND,1.82,BROOKLYN     ,1
GIVAN SQUARE,1.82,BRONX        ,1
THOMAS BOYLAND PARK,1.82,BROOKLYN     ,2
HAROLD ICKES PLAYGROUND,1.82,BROOKLYN     ,0
REV J POLITE PLAYGROUND,1.82,BRONX        ,0
MAPES BALLFIELD,1.81,BRONX        ,0
MIDLAND MALLS,1.8,QUEENS       ,0
CEDAR PLAYGROUND,1.8,BRONX        ,2
BENNETT PARK,1.8,MANHATTAN    ,2
CONCH PLAYGROUND,1.8,QUEENS       ,0
RAYMOND BUSH PLAYGROUND,1.8,BROOKLYN     ,5
PLAYGROUND 52 LII,1.79,BRONX        ,0
DR. GREEN PLAYGROUND,1.79,BROOKLYN     ,1
BRUST PARK,1.79,BRONX        ,0
LAURELTON PLAYGROUND,1.79,QUEENS       ,1
SIMEONE PARK,1.78,QUEENS       ,2
MANOR PARK,1.78,STATEN ISLAND,0
TAPPEN PARK,1.78,STATEN ISLAND,3
LUNA PARK,1.76,BROOKLYN     ,24
ALFRED E. SMITH PLAYGROUND,1.75,MANHATTAN    ,4
ELECTRIC PLAYGROUND,1.75,QUEENS       ,1
YELLOWSTONE PARK,1.75,QUEENS       ,3
CORONA GOLF PLAYGROUND,1.72,QUEENS       ,1
WILSON PLAYGROUND,1.72,BROOKLYN     ,1
NORTHERN PLAYGROUND,1.72,QUEENS       ,9
BARTEL-PRITCHARD SQUARE,1.71,BROOKLYN     ,1
DOUGHBOY PLAZA,1.71,QUEENS       ,2
CASTLE HILL LITTLE LEAGUE FIELD,1.71,BRONX        ,0
GRAND FERRY PARK,1.7,BROOKLYN     ,2
HAPPY WARRIOR PLAYGROUND,1.7,MANHATTAN    ,1
ALLEN MALL ONE,1.7,MANHATTAN    ,4
PLAYGROUND ONE TWENTY FIVE CXXV,1.69,MANHATTAN    ,0
STAR SPANGLED PLAYGROUND,1.69,BROOKLYN     ,0
PATTERSON PLAYGROUND,1.68,BRONX        ,1
MOUNT EDEN MALLS,1.68,BRONX        ,0
MIDLAND PLAYGROUND,1.68,STATEN ISLAND,0
ADAM CLAYTON POWELL JR. MALLS,1.68,MANHATTAN    ,1
BANNEKER PLAYGROUND,1.67,BROOKLYN     ,2
JAMES J WALKER PARK,1.67,MANHATTAN    ,7
WHITESTONE PLAYGROUND,1.66,QUEENS       ,1
EQUITY PARK,1.66,QUEENS       ,4
THURSBY BASIN PARK,1.66,QUEENS       ,0
BELL MALLS,1.65,QUEENS       ,0
LEIF ERICSON FIELDS,1.65,BROOKLYN     ,3
NEHEMIAH PARK,1.65,BROOKLYN     ,3
MARBLE HILL PLAYGROUND,1.65,BRONX        ,3
WAGNER HOUSES POOL,1.64,MANHATTAN    ,0
HARLEM LANE PLAYGROUND,1.64,MANHATTAN    ,0
CROWLEY PLAYGROUND,1.63,QUEENS       ,1
BURNS PLAYGROUND,1.62,BRONX        ,1
100% PLAYGROUND,1.62,BROOKLYN     ,3
JACKIE ROBINSON PARK BROOKLYN,1.61,BROOKLYN     ,3
IDA COURT,1.6,STATEN ISLAND,0
JENNIFER'S PLAYGROUND,1.6,STATEN ISLAND,0
REAL GOOD PARK,1.6,QUEENS       ,0
ALLERTON PLAYGROUND,1.6,BRONX        ,1
OCEAN HILL PLAYGROUND,1.6,BROOKLYN     ,3
BELLEVUE SOUTH PARK,1.59,MANHATTAN    ,6
MAZZEI PLAYGROUND,1.59,BRONX        ,0
DAG HAMMARSKJOLD PLAZA,1.59,MANHATTAN    ,1
KOLBERT PLAYGROUND,1.58,BROOKLYN     ,6
POOR RICHARD'S PLAYGROUND,1.58,MANHATTAN    ,7
OLMSTED-BEIL HOUSE PARK,1.58,STATEN ISLAND,0
TAYLOR PLAYGROUND,1.58,BRONX        ,1
JOAN OF ARC PARK,1.58,MANHATTAN    ,0
HARMONY PARK,1.56,BROOKLYN     ,0
BRIARWOOD PLAYGROUND,1.56,QUEENS       ,0
CLINTONVILLE PLAYGROUND,1.55,QUEENS       ,0
FLATBUSH MALLS,1.55,BROOKLYN     ,0
WASHINGTON PARK BROOKLYN,1.55,BROOKLYN     ,4
JOHN HANCOCK PLAYGROUND,1.55,BROOKLYN     ,5
FRANK D. O'CONNOR PLAYGROUND,1.54,QUEENS       ,13
OLD TOWN PLAYGROUND,1.53,STATEN ISLAND,0
HUGUENOT PONDS PARK,1.53,STATEN ISLAND,0
REIFF PLAYGROUND,1.53,QUEENS       ,6
RUSSELL SAGE PLAYGROUND,1.53,QUEENS       ,1
ROGER MORRIS PARK,1.52,MANHATTAN    ,0
BROAD CHANNEL PARK,1.52,QUEENS       ,0
SPUYTEN DUYVIL PLAYGROUND,1.51,BRONX        ,1
JOHN ALLEN PAYNE PARK,1.51,BROOKLYN     ,0
BULOVA PARK,1.5,QUEENS       ,1
DECATUR PLAYGROUND,1.5,BROOKLYN     ,3
GOLCONDA PLAYGROUND,1.5,BROOKLYN     ,5
DRY DOCK PLAYGROUND,1.5,MANHATTAN    ,2
MAPLE GROVE PARK,1.5,QUEENS       ,0
UNNAMED PARK ON RIVERSIDE DRIVE,1.49,MANHATTAN    ,5
MARX BROTHERS PLAYGROUND,1.49,MANHATTAN    ,0
BREVOORT PLAYGROUND,1.49,BROOKLYN     ,0
PLAYGROUND SIXTY TWO LXII,1.48,QUEENS       ,0
TALL OAK PLAYGROUND,1.48,QUEENS       ,0
FRONTERA PARK,1.47,QUEENS       ,1
COLDEN PLAYGROUND,1.47,QUEENS       ,1
LUTHER GULICK PLAYGROUND,1.45,MANHATTAN    ,2
PULASKI PARK,1.45,BRONX        ,2
BOOKER T. WASHINGTON PLAYGROUND,1.44,MANHATTAN    ,3
DUNBAR PLAYGROUND,1.44,BRONX        ,2
PLAYGROUND TWENTY ONE,1.44,QUEENS       ,0
PROSPECT PLAYGROUND,1.44,BRONX        ,0
WOODS PLAYGROUND,1.44,BROOKLYN     ,2
GLENWOOD PLAYGROUND,1.43,BROOKLYN     ,1
SHELTERING ARMS PLAYGROUND,1.43,MANHATTAN    ,4
ALMEDA PLAYGROUND,1.43,QUEENS       ,1
GAETA PARK,1.43,STATEN ISLAND,0
MALL FORTY TWO XLII,1.43,QUEENS       ,0
NORELLI-HARGREAVES PLAYGROUND,1.43,QUEENS       ,0
BILDERSEE PLAYGROUND,1.42,BROOKLYN     ,0
PULASKI PLAYGROUND,1.42,BROOKLYN     ,2
MACDONALD PARK,1.42,QUEENS       ,0
OWEN F. DOLEN PARK,1.4,BRONX        ,1
VAN DYKE PLAYGROUND,1.4,BROOKLYN     ,1
WILLIAMSBRIDGE SQUARE,1.4,BRONX        ,1
PEOPLE'S PARK,1.39,BRONX        ,4
DOME PLAYGROUND,1.39,BROOKLYN     ,6
RUSSELL PEDERSEN PLAYGROUND,1.38,BROOKLYN     ,0
ST. CATHERINE'S PARK,1.38,MANHATTAN    ,2
HOWARD VON DOHLEN PLAYGROUND,1.38,QUEENS       ,4
NAUTILUS PLAYGROUND BROOKLYN,1.38,BROOKLYN     ,3
HAVEN AVENUE,1.38,MANHATTAN    ,0
ARCILLA PLAYGROUND,1.38,BRONX        ,5
FOUNTAIN OF YOUTH PLAYGROUND,1.38,BRONX        ,0
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,1.38,STATEN ISLAND,0
MARTINEZ PLAYGROUND,1.37,BROOKLYN     ,1
HILLSIDE PARK BROOKLYN,1.37,BROOKLYN     ,0
PLAYGROUND ONE FORTY,1.37,QUEENS       ,1
LT. LIA PLAYGROUND,1.37,STATEN ISLAND,4
CRACK IS WACK PLAYGROUND,1.37,MANHATTAN    ,2
CASTLE HILL PLAYGROUND,1.37,BRONX        ,0
ADAM YAUCH PARK,1.36,BROOKLYN     ,1
HOPE BALLFIELD,1.36,BROOKLYN     ,3
DR. RONALD MCNAIR PARK,1.36,BROOKLYN     ,0
ADMIRAL FARRAGUT PLAYGROUND,1.36,BRONX        ,1
MCDONALD PLAYGROUND STATEN ISLAND,1.35,STATEN ISLAND,0
UNNAMED PARK ON VANDALIA AVENUE,1.35,BROOKLYN     ,0
FRESH MEADOWS PLAYGROUND,1.35,QUEENS       ,1
PLAYGROUND EIGHTY LXXX,1.35,QUEENS       ,0
PRINTER'S PARK,1.34,BRONX        ,0
RENAISSANCE PLAYGROUND,1.34,MANHATTAN    ,1
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,1.34,BROOKLYN     ,3
REMSEN PLAYGROUND,1.33,BROOKLYN     ,0
MARC AND JASON'S PLAYGROUND,1.33,BROOKLYN     ,1
VETERANS PARK STATEN ISLAND,1.32,STATEN ISLAND,3
LYONS SQUARE PLAYGROUND,1.32,BRONX        ,4
AGNES HAYWOOD PLAYGROUND,1.32,BRONX        ,3
MARION HOPKINSON PLAYGROUND,1.32,BROOKLYN     ,7
AMPERE PLAYGROUND,1.32,QUEENS       ,2
POTOMAC PLAYGROUND,1.32,BROOKLYN     ,8
DETECTIVE JOSEPH MAYROSE PARK,1.31,BROOKLYN     ,3
PAUL RAIMONDA PLAYGROUND,1.31,QUEENS       ,0
PRALL PLAYGROUND,1.31,STATEN ISLAND,1
HORACE HARDING PLAYGROUND,1.3,QUEENS       ,0
DEAN PLAYGROUND,1.3,BROOKLYN     ,8
SEVEN GABLES PLAYGROUND,1.3,QUEENS       ,0
TRIBOROUGH BRIDGE PLAYGROUND B,1.3,QUEENS       ,1
LITTLE FLOWER PLAYGROUND,1.29,MANHATTAN    ,1
DONGAN PLAYGROUND,1.29,STATEN ISLAND,0
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,1.29,BROOKLYN     ,1
SAMUEL H. YOUNG PARK,1.29,BRONX        ,0
EAST RIVER PLAYGROUND,1.29,MANHATTAN    ,2
SPACE TIME PLAYGROUND,1.28,BRONX        ,3
BOWNE PLAYGROUND,1.28,QUEENS       ,8
RUDD PLAYGROUND,1.28,BROOKLYN     ,1
WILLOW LAKE PLAYGROUND,1.28,QUEENS       ,0
MURPHY'S BROTHER'S PLAYGROUND,1.28,MANHATTAN    ,2
COONEY GRAUER FIELD,1.27,BRONX        ,0
WAGNER PLAYGROUND,1.27,MANHATTAN    ,3
EMERALD PLAYGROUND,1.27,QUEENS       ,1
PELHAM BAY LITTLE LEAGUE,1.26,BRONX        ,1
CHARLIE'S PLACE,1.26,BROOKLYN     ,2
GREENE PLAYGROUND,1.26,BROOKLYN     ,1
TANAHEY PLAYGROUND,1.25,MANHATTAN    ,3
ALBERT J. PARHAM PLAYGROUND,1.25,BROOKLYN     ,1
PARKSIDE PLAYGROUND BROOKLYN,1.25,BROOKLYN     ,3
PLAYGROUND NINETY,1.25,QUEENS       ,6
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,1.25,STATEN ISLAND,0
NEPTUNE PLAYGROUND,1.24,BROOKLYN     ,0
HECKSCHER PLAYGROUND,1.24,BROOKLYN     ,10
ANNUNCIATION PARK,1.24,MANHATTAN    ,1
QUEENSBORO OVAL,1.24,MANHATTAN    ,0
GRASSMERE PLAYGROUND,1.24,QUEENS       ,0
GONZALO PLASENCIA PLAYGROUND,1.24,BROOKLYN     ,0
RIENZI PLAYGROUND,1.23,BRONX        ,3
PATRICK O'ROURKE PARK,1.23,BROOKLYN     ,0
ROEBLING PLAYGROUND,1.23,BROOKLYN     ,1
FRESH MEADOWS PARK,1.23,QUEENS       ,0
HOWARD BENNETT PLAYGROUND,1.23,MANHATTAN    ,3
STANLEY ISAACS PLAYGROUND,1.23,MANHATTAN    ,1
CHAPPETTO SQUARE,1.23,QUEENS       ,0
BRIGHTON PLAYGROUND,1.23,BROOKLYN     ,5
NELSON PLAYGROUND,1.22,BRONX        ,6
SHEEPSHEAD BAY PIERS,1.22,BROOKLYN     ,0
ELEANOR ROOSEVELT PLAYGROUND,1.21,BROOKLYN     ,1
BAYVIEW PLAYGROUND,1.21,BROOKLYN     ,0
BAYSIDE PLAYGROUND,1.21,QUEENS       ,0
FRANCIS LEWIS PLAYGROUND,1.21,QUEENS       ,1
MURRAY HILL PLAYGROUND,1.21,QUEENS       ,1
MAGENTA PLAYGROUND,1.21,BRONX        ,2
TIFFANY PLAYGROUND,1.21,BRONX        ,2
MAURICE A FITZGERALD PLAYGROUND,1.2,QUEENS       ,1
DANIEL BOONE PLAYGROUND,1.2,BRONX        ,0
HILTON HOLIDAY GARDENS,1.2,QUEENS       ,0
HATTIE CARTHAN PLAYGROUND,1.2,BROOKLYN     ,2
KOREAN WAR VETERANS PLAZA,1.2,BROOKLYN     ,0
STROUD PLAYGROUND,1.19,BROOKLYN     ,1
TILDEN PLAYGROUND,1.19,BROOKLYN     ,2
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,1.19,BROOKLYN     ,0
SOUTH OXFORD PARK,1.19,BROOKLYN     ,5
UNDERWOOD PARK,1.19,BROOKLYN     ,2
GROVE HILL PLAYGROUND,1.19,BRONX        ,0
LA GUARDIA PLAYGROUND,1.18,BROOKLYN     ,0
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,1.18,STATEN ISLAND,0
BELMONT PLAYGROUND BROOKLYN,1.18,BROOKLYN     ,1
STEUBEN PLAYGROUND,1.17,BROOKLYN     ,0
THE CYCLONE,1.17,BROOKLYN     ,0
WILLIAM SHERIDAN PLAYGROUND,1.17,BROOKLYN     ,1
OAKLAND GARDENS,1.17,QUEENS       ,2
UNIVERSITY PLACE,1.16,BROOKLYN     ,0
EHRENREICH-AUSTIN PLAYGROUND,1.16,QUEENS       ,1
HARDING PARK BEAUTIFICATION PROJECT,1.16,BRONX        ,0
HILLSIDE PARK QUEENS,1.16,QUEENS       ,1
SITTING AREA AT HOYT AVENUE,1.16,QUEENS       ,1
CUYLER GORE PARK,1.16,BROOKLYN     ,1
BATH PLAYGROUND,1.16,BROOKLYN     ,1
POLICE OFFICER NICHOLAS DEMUTIIS PARK,1.15,QUEENS       ,2
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",1.15,QUEENS       ,0
RAPPAPORT PLAYGROUND,1.15,BROOKLYN     ,1
EAST SPRINGFIELD PLAYGROUND,1.15,QUEENS       ,1
WILLETS POINT PLAYGROUND,1.15,QUEENS       ,0
TOAD HALL PLAYGROUND,1.15,STATEN ISLAND,0
SEASIDE PLAYGROUND,1.14,QUEENS       ,0
CORPORAL JOHN A. SERAVALLI PLAYGROUND,1.14,MANHATTAN    ,9
POPPENHUSEN PLAYGROUND,1.14,QUEENS       ,1
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,1.14,QUEENS       ,0
SOBEL COURT PARK,1.14,STATEN ISLAND,0
UNNAMED PARK ON SOUNDVIEW AVENUE,1.13,BRONX        ,0
D'EMIC PLAYGROUND,1.13,BROOKLYN     ,1
FIDLER-WYCKOFF HOUSE PARK,1.13,BROOKLYN     ,1
WESTBOURNE PLAYGROUND,1.13,QUEENS       ,0
PRESCOTT PLAYGROUND,1.12,STATEN ISLAND,0
LOPEZ PLAYGROUND,1.12,STATEN ISLAND,0
HUGH J. GRANT CIRCLE,1.11,BRONX        ,0
P.S. 29 BALL FIELD,1.11,BRONX        ,0
PENA HERRERA PARK,1.11,BROOKLYN     ,0
MENTONE PLAYGROUND,1.1,QUEENS       ,0
MIDDLETON PLAYGROUND,1.1,BROOKLYN     ,1
DE HOSTOS PLAYGROUND,1.1,BROOKLYN     ,2
SARATOGA BALLFIELDS,1.1,BROOKLYN     ,3
ROBERT MOSES PLAYGROUND,1.09,MANHATTAN    ,0
STOCKTON PLAYGROUND,1.09,BROOKLYN     ,0
JACOB'S LADDER PLAYGROUND,1.09,BROOKLYN     ,0
LOUIS ARMSTRONG PLAYGROUND,1.09,QUEENS       ,1
UNNAMED PARK ON HAMILTON AVENUE,1.08,BROOKLYN     ,0
LATIMER PLAYGROUND,1.08,QUEENS       ,0
UNNAMED PARK ON MELROSE AVENUE,1.08,BRONX        ,1
MARLBORO PLAYGROUND,1.07,BROOKLYN     ,1
NORTH ROCHDALE PLAYGROUND,1.07,QUEENS       ,0
JEROME PLAYGROUND,1.07,BROOKLYN     ,0
GREAT KILLS PARK AT HILLCREST AVENUE,1.07,STATEN ISLAND,1
FERMI PLAYGROUND,1.06,BROOKLYN     ,5
ERICSSON PLAYGROUND,1.06,BROOKLYN     ,0
MELLETT PLAYGROUND,1.06,BROOKLYN     ,3
NELLIE BLY PARK,1.06,BROOKLYN     ,0
TELEPHONE PLAYGROUND,1.06,QUEENS       ,0
SEDGWICK PLAYGROUND,1.05,BRONX        ,4
BRUCKNER PLAYGROUND,1.05,BRONX        ,1
MILLBROOK PLAYGROUND,1.05,BRONX        ,1
PLAYGROUND 103 CIII,1.05,MANHATTAN    ,0
ROCKET PARK,1.05,QUEENS       ,0
BEACH CHANNEL PLAYGROUND,1.05,QUEENS       ,1
LOZADA PLAYGROUND,1.05,BRONX        ,1
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1.05,QUEENS       ,3
JAMES WELDON JOHNSON PLAYGROUND,1.05,MANHATTAN    ,3
SPRINGFIELD PARK NORTH,1.05,QUEENS       ,2
NICHOLAS NAQUAN HEYWARD JR. PARK,1.04,BROOKLYN     ,5
FISH PLAYGROUND,1.04,BROOKLYN     ,8
PLANEVIEW PARK,1.04,QUEENS       ,0
GILBERT RAMIREZ PARK,1.03,BROOKLYN     ,1
OXPORT PLAYGROUND,1.03,BROOKLYN     ,0
VAN ALST PLAYGROUND,1.03,QUEENS       ,0
WOODTREE PLAYGROUND,1.03,QUEENS       ,0
HAMMEL PLAYGROUND,1.03,QUEENS       ,0
EASTCHESTER PLAYGROUND,1.03,BRONX        ,0
SUNRISE PLAYGROUND,1.03,QUEENS       ,0
POWELL PLAYGROUND,1.02,BROOKLYN     ,2
MATTHEWS MULINER PLAYGROUND,1.02,BRONX        ,1
KALTENMEIER PLAYGROUND,1.02,STATEN ISLAND,1
BOWLING GREEN,1.02,MANHATTAN    ,1
ANNADALE PLAYGROUND,1.01,QUEENS       ,1
CURTIS PLAYGROUND,1,BROOKLYN     ,1
MELROSE PLAYGROUND,1,BRONX        ,1
CASERTA PLAYGROUND,1,BRONX        ,2
HACKETT PARK,1,BRONX        ,0
PLAYGROUND 174,1,BRONX        ,1
PLIMPTON PLAYGROUND,1,BRONX        ,1
RANDALL PLAYGROUND,1,BRONX        ,0
CHESTER PLAYGROUND,1,BROOKLYN     ,5
HOWARD PLAYGROUND,1,BROOKLYN     ,2
JACKIE ROBINSON PLAYGROUND,1,BROOKLYN     ,5
PINK PLAYGROUND,1,BROOKLYN     ,1
BLAKE HOBBS PLAYGROUND,1,MANHATTAN    ,0
MARTIN LUTHER KING PLAYGROUND,1,MANHATTAN    ,2
MONSIGNOR KETT PLAYGROUND,1,MANHATTAN    ,4
RUPPERT PARK,1,MANHATTAN    ,0
BELLEROSE PLAYGROUND,1,QUEENS       ,0
ARVERNE PLAYGROUND,0.99,QUEENS       ,5
ABRAHAM LINCOLN PLAYGROUND,0.99,MANHATTAN    ,0
CAPTAIN RIVERA PLAYGROUND,0.99,BRONX        ,6
NEWTOWN BARGE PLAYGROUND,0.98,BROOKLYN     ,0
HOLLIS PLAYGROUND,0.98,QUEENS       ,1
MAPLE PLAYGROUND,0.98,QUEENS       ,4
GOUVERNEUR PLAYGROUND,0.98,BRONX        ,4
MOTT PLAYGROUND,0.98,BRONX        ,4
ZIMMERMAN PLAYGROUND,0.97,BRONX        ,3
LANNETT PLAYGROUND,0.97,QUEENS       ,0
RANAQUA PARK,0.97,BRONX        ,0
TEN EYCK PLAYGROUND,0.97,BROOKLYN     ,0
MAE GRANT PLAYGROUND,0.97,MANHATTAN    ,1
ANDRIES PLAYGROUND,0.96,BROOKLYN     ,3
CARVER PLAYGROUND,0.96,BROOKLYN     ,1
PARK SLOPE PLAYGROUND,0.96,BROOKLYN     ,3
CHERRY TREE PARK,0.95,MANHATTAN    ,4
DAVIS PLAYGROUND,0.95,STATEN ISLAND,0
MATTHEW P. SAPOLIN PLAYGROUND,0.95,MANHATTAN    ,0
PETER MINUIT PLAYGROUND,0.94,MANHATTAN    ,0
SOUTH ROCHDALE PLAYGROUND,0.94,QUEENS       ,1
DREW PLAYGROUND,0.94,BRONX        ,0
FOX PLAYGROUND BRONX,0.94,BRONX        ,0
WALTER WARD PLAYGROUND,0.94,QUEENS       ,1
BENSON PLAYGROUND,0.93,BROOKLYN     ,1
CRISPUS ATTUCKS PLAYGROUND,0.93,BROOKLYN     ,1
SURF PLAYGROUND,0.93,BROOKLYN     ,0
BERGEN BEACH PLAYGROUND,0.93,BROOKLYN     ,0
TIGER PLAYGROUND,0.93,BROOKLYN     ,0
ATHENS SQUARE,0.93,QUEENS       ,3
ROCK GARDEN PARK,0.92,BRONX        ,2
SAW MILL PLAYGROUND,0.92,BRONX        ,3
P.S. 279 PLAYGROUND,0.92,BROOKLYN     ,0
VIRGINIA PARK,0.92,BRONX        ,2
BOERUM PARK,0.92,BROOKLYN     ,4
ALBEMARLE PLAYGROUND,0.92,BROOKLYN     ,0
BARTLETT PLAYGROUND,0.92,BROOKLYN     ,0
NEWPORT PLAYGROUND,0.92,BROOKLYN     ,1
PRATT PLAYGROUND,0.92,BROOKLYN     ,1
CARTER G. WOODSON CHILDREN'S PARK,0.92,BROOKLYN     ,0
HOUSTON PLAYGROUND,0.92,BROOKLYN     ,1
LIVONIA PARK,0.92,BROOKLYN     ,2
DITMARS PARK,0.92,QUEENS       ,0
WHITE PLAYGROUND STATEN ISLAND,0.92,STATEN ISLAND,0
EDMONDS PLAYGROUND,0.92,BROOKLYN     ,2
GARDEN PLAYGROUND,0.92,BROOKLYN     ,2
PONTIAC PLAYGROUND,0.91,BRONX        ,4
MARTIN LUTHER PLAYGROUND,0.91,BROOKLYN     ,3
AESOP PARK,0.91,STATEN ISLAND,0
SLATTERY PLAYGROUND,0.91,BRONX        ,4
BAY TERRACE PLAYGROUND,0.91,QUEENS       ,0
WILLOUGHBY PLAYGROUND,0.91,BROOKLYN     ,0
ESTELLA DIGGS PARK,0.9,BRONX        ,0
WASHINGTON HALL PARK,0.9,BROOKLYN     ,4
HARLEM RBI,0.9,MANHATTAN    ,0
STARR PLAYGROUND,0.9,QUEENS       ,0
AMERICAN PLAYGROUND,0.9,BROOKLYN     ,3
HART PLAYGROUND ON BROADWAY,0.9,QUEENS       ,2
ARROCHAR PLAYGROUND,0.89,STATEN ISLAND,0
SOL LAIN PLGD,0.89,MANHATTAN    ,0
EL SHABAZZ PLAYGROUND,0.89,BROOKLYN     ,1
PINOCCHIO PLAYGROUND,0.89,QUEENS       ,1
ALICE KORNEGAY TRIANGLE,0.88,MANHATTAN    ,2
PETER'S FIELD,0.88,MANHATTAN    ,0
BEDFORD PLAYGROUND,0.88,BROOKLYN     ,2
HAROLD SCHNEIDERMAN PLAYGROUND,0.88,QUEENS       ,2
WAKEFIELD PLAYGROUND,0.88,BRONX        ,0
QUEENS VALLEY PLAYGROUND,0.88,QUEENS       ,0
LT. JOSEPH PETROSINO PARK,0.87,BROOKLYN     ,3
EVERGREEN PLAYGROUND,0.87,BROOKLYN     ,0
PLAYGROUND 286,0.87,BROOKLYN     ,1
BARRIER PLAYGROUND,0.87,QUEENS       ,0
LION'S PRIDE PLAYGROUND,0.87,BROOKLYN     ,0
NATHAN STRAUS PLAYGROUND,0.85,MANHATTAN    ,2
SCHENCK PLAYGROUND,0.85,BROOKLYN     ,4
HAVILAND PLAYGROUND,0.84,BRONX        ,2
SOL BLOOM PLAYGROUND,0.84,MANHATTAN    ,3
P.S. 155 PLAYGROUND,0.83,MANHATTAN    ,1
STEBBINS PLAYGROUND,0.83,BRONX        ,0
OPEN ROAD PARK,0.83,MANHATTAN    ,0
DI GILIO PLAYGROUND,0.83,BROOKLYN     ,1
HART PLAYGROUND ON 147 ST,0.82,QUEENS       ,1
FLYNN PLAYGROUND,0.82,BRONX        ,3
HIGHBRIDGE PARK BRONX SIDE,0.82,BRONX        ,3
PARKSIDE PLAYGROUND BRONX,0.82,BRONX        ,0
FISHER POOL,0.82,QUEENS       ,0
ALEXANDER HAMILTON PLAYGROUND,0.81,MANHATTAN    ,0
WEST FARMS RAPIDS,0.81,BRONX        ,0
BELLAIRE PLAYGROUND,0.81,QUEENS       ,4
STEINWAY PLAYGROUND,0.81,QUEENS       ,1
RISSE STREET PARK,0.81,BRONX        ,0
ETHAN ALLEN PLAYGROUND,0.8,BROOKLYN     ,2
KENNEDY KING PLAYGROUND,0.79,BROOKLYN     ,0
EUGENE MCCABE FIELD,0.79,MANHATTAN    ,1
VLADECK PARK,0.79,MANHATTAN    ,0
